INDID,CLASSID,CLASSDESC
75,E,Portion of device code
75,F,Portion of device code
75,G,Portion of device code
75,H,Portion of device code
75,I,Portion of device code
75,J,Portion of device code
75,K,Portion of device code
75,L,Portion of device code
75,M,Portion of device code
75,N,Portion of device code
75,O,Portion of device code
75,P,Portion of device code
75,Q,Portion of device code
75,R,Portion of device code
75,S,Portion of device code
75,T,Portion of device code
75,U,Portion of device code
75,V,Portion of device code
75,W,Portion of device code
75,X,Portion of device code
75,Y,Portion of device code
75,Z,Portion of device code
76,A,Portion of device code
76,B,Portion of device code
76,C,Portion of device code
76,D,Portion of device code
76,E,Portion of device code
76,F,Portion of device code
76,G,Portion of device code
76,H,Portion of device code
76,I,Portion of device code
76,J,Portion of device code
76,K,Portion of device code
76,L,Portion of device code
76,M,Portion of device code
76,N,Portion of device code
76,O,Portion of device code
76,P,Portion of device code
76,Q,Portion of device code
76,R,Portion of device code
76,S,Portion of device code
76,T,Portion of device code
76,U,Portion of device code
76,V,Portion of device code
76,W,Portion of device code
76,X,Portion of device code
76,Y,Portion of device code
76,Z,Portion of device code
77,A,Portion of device code
77,B,Portion of device code
77,C,Portion of device code
77,D,Portion of device code
77,E,Portion of device code
77,F,Portion of device code
77,G,Portion of device code
77,H,Portion of device code
77,I,Portion of device code
77,J,Portion of device code
77,K,Portion of device code
77,L,Portion of device code
77,M,Portion of device code
77,N,Portion of device code
77,O,Portion of device code
77,P,Portion of device code
77,Q,Portion of device code
77,R,Portion of device code
77,S,Portion of device code
77,T,Portion of device code
77,U,Portion of device code
77,V,Portion of device code
77,W,Portion of device code
77,X,Portion of device code
77,Y,Portion of device code
77,Z,Portion of device code
78,A,Portion of device code
78,B,Portion of device code
78,C,Portion of device code
78,D,Portion of device code
78,E,Portion of device code
78,F,Portion of device code
78,G,Portion of device code
78,H,Portion of device code
78,I,Portion of device code
78,J,Portion of device code
78,K,Portion of device code
78,L,Portion of device code
78,M,Portion of device code
78,N,Portion of device code
78,O,Portion of device code
78,P,Portion of device code
78,Q,Portion of device code
78,R,Portion of device code
78,S,Portion of device code
78,T,Portion of device code
78,U,Portion of device code
78,V,Portion of device code
78,W,Portion of device code
78,X,Portion of device code
78,Y,Portion of device code
78,Z,Portion of device code
79,A,Portion of device code
79,B,Portion of device code
79,C,Portion of device code
79,D,Portion of device code
79,E,Portion of device code
79,F,Portion of device code
79,G,Portion of device code
79,H,Portion of device code
79,I,Portion of device code
79,J,Portion of device code
79,K,Portion of device code
79,L,Portion of device code
79,M,Portion of device code
79,N,Portion of device code
79,O,Portion of device code
79,P,Portion of device code
79,Q,Portion of device code
79,R,Portion of device code
79,S,Portion of device code
79,T,Portion of device code
79,U,Portion of device code
79,V,Portion of device code
79,W,Portion of device code
79,X,Portion of device code
79,Y,Portion of device code
79,Z,Portion of device code
80,0,Portion of device code
80,B,Portion of device code
80,C,Portion of device code
80,D,Portion of device code
80,E,Portion of device code
80,F,Portion of device code
80,G,Portion of device code
80,H,Portion of device code
80,I,Portion of device code
80,J,Portion of device code
80,K,Portion of device code
80,L,Portion of device code
80,M,Portion of device code
80,N,Portion of device code
80,O,Portion of device code
80,P,Portion of device code
80,Q,Portion of device code
81,0,Portion of device code
81,B,Portion of device code
81,D,Portion of device code
81,G,Portion of device code
81,I,Portion of device code
81,J,Portion of device code
81,K,Portion of device code
81,L,Portion of device code
81,M,Portion of device code
81,N,Portion of device code
81,O,Portion of device code
81,P,Portion of device code
81,Q,Portion of device code
82,C,Portion of device code
82,D,Portion of device code
82,I,Portion of device code
82,J,Portion of device code
82,K,Portion of device code
82,L,Portion of device code
82,M,Portion of device code
82,N,Portion of device code
82,O,Portion of device code
82,P,Portion of device code
82,Q,Portion of device code
83,G,Portion of device code
83,J,Portion of device code
83,K,Portion of device code
83,L,Portion of device code
83,M,Portion of device code
83,N,Portion of device code
83,O,Portion of device code
83,P,Portion of device code
83,Q,Portion of device code
84,B,Portion of device code
84,D,Portion of device code
84,G,Portion of device code
84,H,Portion of device code
84,I,Portion of device code
84,J,Portion of device code
84,K,Portion of device code
84,L,Portion of device code
84,M,Portion of device code
84,N,Portion of device code
84,O,Portion of device code
84,P,Portion of device code
84,Q,Portion of device code
85,F,Portion of device code
85,H,Portion of device code
85,I,Portion of device code
85,K,Portion of device code
85,L,Portion of device code
85,M,Portion of device code
85,N,Portion of device code
85,O,Portion of device code
85,P,Portion of device code
85,Q,Portion of device code
86,0,Portion of deviice code
86,F,Portion of device code
86,G,portion of device code
86,H,Portion of device code
86,K,Portion of device code
86,L,Portion of device code
86,M,Portion of device code
86,N,Portion of device code
86,O,portion of device code
86,P,portion of device code
86,Q,portion of device code
87,F,Portion of device code
87,G,Portion of device code
87,H,Portion of device code
87,J,Portion of device code
87,K,Portion of device code
87,L,Portion of device code
87,M,Portion of device code
87,N,Portion of device code
87,O,Portion of device code
87,P,Portion of device code
87,Q,Portion of device code
88,D,Portion of device code
88,G,Portion of device code
88,H,Portion of device code
88,I,Portion of device code
88,J,Portion of device code
88,K,Portion of device code
88,L,Portion of device code
88,M,Portion of device code
88,N,Portion of device code
88,O,Portion of device code
88,P,Portion of device code
88,Q,Portion of device code
89,B,Portion of device code
89,E,Portion of device code
89,G,Portion of device code
89,H,Portion of device code
89,I,Portion of device code
89,J,Portion of device code
89,K,Portion of device code
89,L,Portion of device code
89,M,Portion of device code
89,N,Portion of device code
89,O,Portion of device code
89,P,Portion of device code
89,Q,Portion of device code
90,E,Portion of device code
90,F,Portion of device code
90,H,Portion of device code
90,I,Portion of device code
90,J,Portion of device code
90,K,Portion of device code
90,L,Portion of device code
90,M,Portion of device code
90,N,Portion of device code
90,O,Portion of device code
90,P,Portion of device code
90,Q,Portion of device code
90,R,Portion of device code
91,D,Portion of device code
91,J,Portion of device code
91,K,Portion of device code
91,L,Portion of device code
91,M,Portion of device code
91,N,Portion of device code
91,O,Portion of device code
91,P,Portion of device code
91,Q,Portion of device code
92,O,Portion of device code
92,P,Portion of device code
92,Q,Portion of device code
94,A,Accelerators
94,C,Cold Cathode Discharge Tubes
94,H,High Voltage Vacuum Devices
94,I,Industrial X-Ray
94,N,Analytical X-Ray Systems and Components
94,R,Portion of device code
94,V,Video
95,I,Infra-Red Emiting Products
95,L,Laser Products
95,R,Portion of device code
95,U,Ultra-Violet Emitting Products
96,H,Microwave Heating Products (except Ovens)
96,M,Microwave Ovens for Food Use
96,R,Portion of device code
96,Y,Other Radio Frequency Emitting Products
97,R,Portion of device code
97,U,Ultrasonic Products
97,Y,Sound Emitting Products other than Ultrasound
98,A,Cigarette Tobacco
98,B,Cigarettes
98,C,Smokeless Tobacco
98,D,Roll Your Own Tobacco
98,E,"Cigarette Component, Part or Accessory"
98,F,"Roll-Your-Own Tobacco Component, Part or Accessory"
98,G,Cigar
98,H,Cigar Component or Part
98,I,Pipe Tobacco
98,J,Waterpipe Tobacco
98,K,Waterpipe Tobacco Component or Part
98,L,Electronic Nicotine Delivery System
98,M,Electronic Nicotine Delivery System Component/Part
98,N,Nicotine Delivery Product
98,O,"Pipe, Pipe Component or Part"
